# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_dist_hbonds_mol5.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_3
# Original file was created by command :
"0.0025";"0.0"
"0.0075";"0.0"
"0.0125";"0.0"
"0.0175";"0.0"
"0.0225";"0.0"
"0.0275";"0.0"
"0.0325";"0.0"
"0.0375";"0.0"
"0.0425";"0.0"
"0.0475";"0.0"
"0.0525";"0.0"
"0.0575";"0.0"
"0.0625";"0.0"
"0.0675";"0.0"
"0.0725";"0.0"
"0.0775";"0.0"
"0.0825";"0.0"
"0.0875";"0.0"
"0.0925";"0.0"
"0.0975";"0.0"
"0.1025";"0.0"
"0.1075";"0.0"
"0.1125";"0.0"
"0.1175";"0.0"
"0.1225";"0.0"
"0.1275";"0.0"
"0.1325";"0.0"
"0.1375";"0.0"
"0.1425";"0.0"
"0.1475";"0.0"
"0.1525";"0.0"
"0.1575";"0.0"
"0.1625";"0.0"
"0.1675";"0.0"
"0.1725";"0.0"
"0.1775";"0.0"
"0.1825";"0.0"
"0.1875";"0.0"
"0.1925";"0.0"
"0.1975";"0.0"
"0.2025";"0.0"
"0.2075";"0.0"
"0.2125";"0.0"
"0.2175";"0.0"
"0.2225";"0.0"
"0.2275";"0.0"
"0.2325";"0.0"
"0.2375";"0.0"
"0.2425";"0.0949577"
"0.2475";"0.85462"
"0.2525";"2.10806"
"0.2575";"6.0583"
"0.2625";"11.281"
"0.2675";"17.3773"
"0.2725";"21.8973"
"0.2775";"24.8409"
"0.2825";"23.1317"
"0.2875";"21.5174"
"0.2925";"16.4087"
"0.2975";"12.4205"
"0.3025";"9.83762"
"0.3075";"6.95091"
"0.3125";"5.98234"
"0.3175";"4.69091"
"0.3225";"3.39949"
"0.3275";"2.6968"
"0.3325";"2.52588"
"0.3375";"2.37394"
"0.3425";"1.74722"
"0.3475";"1.8042"
